date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:10:39	2676/2676	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263889ba9-a74%22	https://htmldemo.net/urdan/urdan/assets/js/plugins/jquery.counterup.js	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/js/plugins/jquery.counterup.js	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:10:39	73170/73170	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263889bb0-11dd2%22	https://htmldemo.net/urdan/urdan/assets/js/plugins/select2.min.js	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/js/plugins/select2.min.js	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:10:40	4063/4063	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263889ba5-fdf%22	https://htmldemo.net/urdan/urdan/assets/js/plugins/easyzoom.js	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/js/plugins/easyzoom.js	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:10:41	5816/5816	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263889bb1-16b8%22	https://htmldemo.net/urdan/urdan/assets/js/plugins/slinky.min.js	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/js/plugins/slinky.min.js	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:10:41	1201/1201	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263889ba3-4b1%22	https://htmldemo.net/urdan/urdan/assets/js/plugins/ajax-mail.js	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/js/plugins/ajax-mail.js	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:10:42	16651/16651	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263889a86-410b%22	https://htmldemo.net/urdan/urdan/assets/js/main.js	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/js/main.js	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:10:42	58680/58680	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2263889a78-e538%22	https://htmldemo.net/urdan/urdan/assets/fonts/Pe-icon-7-stroke.eot?d7yf1v	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/fonts/Pe-icon-7-strokebb1d.eot	(from https://htmldemo.net/urdan/urdan/assets/css/vendor/pe-icon-7-stroke.css)
17:10:42	58680/58680	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2263889a78-e538%22	https://htmldemo.net/urdan/urdan/assets/fonts/Pe-icon-7-stroke.eot?	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/fonts/Pe-icon-7-stroked41d.eot	(from https://htmldemo.net/urdan/urdan/assets/css/vendor/pe-icon-7-stroke.css)
17:10:42	58556/58556	---M--	200	added ('OK')	font/woff	etag:%2263889a7c-e4bc%22	https://htmldemo.net/urdan/urdan/assets/fonts/Pe-icon-7-stroke.woff?d7yf1v	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/fonts/Pe-icon-7-strokebb1d.woff	(from https://htmldemo.net/urdan/urdan/assets/css/vendor/pe-icon-7-stroke.css)
17:10:43	58480/58480	---M--	200	added ('OK')	application/octet-stream	etag:%2263889a7a-e470%22	https://htmldemo.net/urdan/urdan/assets/fonts/Pe-icon-7-stroke.ttf?d7yf1v	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/fonts/Pe-icon-7-strokebb1d.ttf	(from https://htmldemo.net/urdan/urdan/assets/css/vendor/pe-icon-7-stroke.css)
17:10:43	164020/164020	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2263889a7a-280b4%22	https://htmldemo.net/urdan/urdan/assets/fonts/Pe-icon-7-stroke.svg?d7yf1v	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/fonts/Pe-icon-7-strokebb1d.svg	(from https://htmldemo.net/urdan/urdan/assets/css/vendor/pe-icon-7-stroke.css)
17:10:44	78748/78748	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2263889a7d-1339c%22	https://htmldemo.net/urdan/urdan/assets/fonts/themify.eot?-fvbane	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/fonts/themify9f24.eot	(from https://htmldemo.net/urdan/urdan/assets/css/vendor/themify-icons.css)
17:10:44	56108/56108	---M--	200	added ('OK')	font/woff	etag:%2263889a81-db2c%22	https://htmldemo.net/urdan/urdan/assets/fonts/themify.woff?-fvbane	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/fonts/themify9f24.woff	(from https://htmldemo.net/urdan/urdan/assets/css/vendor/themify-icons.css)
17:10:44	78748/78748	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2263889a7d-1339c%22	https://htmldemo.net/urdan/urdan/assets/fonts/themify.eot?	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/fonts/themifyd41d.eot	(from https://htmldemo.net/urdan/urdan/assets/css/vendor/themify-icons.css)
17:10:44	15771/15771	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:10:57%20GMT	https://htmldemo.net/urdan/urdan/assets/images/product/product-1.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/product/product-1.png	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:10:45	78584/78584	---M--	200	added ('OK')	application/octet-stream	etag:%2263889a7f-132f8%22	https://htmldemo.net/urdan/urdan/assets/fonts/themify.ttf?-fvbane	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/fonts/themify9f24.ttf	(from https://htmldemo.net/urdan/urdan/assets/css/vendor/themify-icons.css)
17:10:46	234269/234269	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2263889a7f-3931d%22	https://htmldemo.net/urdan/urdan/assets/fonts/themify.svg?-fvbane	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/fonts/themify9f24.svg	(from https://htmldemo.net/urdan/urdan/assets/css/vendor/themify-icons.css)
17:10:46	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2263889a6c-2876e%22	https://htmldemo.net/urdan/urdan/assets/fonts/fontawesome-webfont.eot?v=4.7.0	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/fonts/fontawesome-webfont3e6e.eot	(from https://htmldemo.net/urdan/urdan/assets/css/vendor/font-awesome.min.css)
17:10:46	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%2263889a76-12d68%22	https://htmldemo.net/urdan/urdan/assets/fonts/fontawesome-webfont.woff2?v=4.7.0	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/fonts/fontawesome-webfont3e6e.woff2	(from https://htmldemo.net/urdan/urdan/assets/css/vendor/font-awesome.min.css)
17:10:46	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2263889a6c-2876e%22	https://htmldemo.net/urdan/urdan/assets/fonts/fontawesome-webfont.eot?	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/fonts/fontawesome-webfontd41d.eot	(from https://htmldemo.net/urdan/urdan/assets/css/vendor/font-awesome.min.css)
17:10:47	98024/98024	---M--	200	added ('OK')	font/woff	etag:%2263889a75-17ee8%22	https://htmldemo.net/urdan/urdan/assets/fonts/fontawesome-webfont.woff?v=4.7.0	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/fonts/fontawesome-webfont3e6e.woff	(from https://htmldemo.net/urdan/urdan/assets/css/vendor/font-awesome.min.css)
17:10:47	165548/165548	---M--	200	added ('OK')	application/octet-stream	etag:%2263889a73-286ac%22	https://htmldemo.net/urdan/urdan/assets/fonts/fontawesome-webfont.ttf?v=4.7.0	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/fonts/fontawesome-webfont3e6e.ttf	(from https://htmldemo.net/urdan/urdan/assets/css/vendor/font-awesome.min.css)
17:10:48	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2263889a70-6c7db%22	https://htmldemo.net/urdan/urdan/assets/fonts/fontawesome-webfont.svg?v=4.7.0	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/fonts/fontawesome-webfont3e6e.svg	(from https://htmldemo.net/urdan/urdan/assets/css/vendor/font-awesome.min.css)
17:10:48	678/678	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Nov%202023%2010:11:39%20GMT	https://htmldemo.net/urdan/urdan/assets/css/plugins/images/ui-icons_444444_256x240.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/css/plugins/images/ui-icons_444444_256x240.png	(from https://htmldemo.net/urdan/urdan/assets/css/plugins/jquery-ui.css)
17:10:48	678/678	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Nov%202023%2010:11:40%20GMT	https://htmldemo.net/urdan/urdan/assets/css/plugins/images/ui-icons_555555_256x240.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/css/plugins/images/ui-icons_555555_256x240.png	(from https://htmldemo.net/urdan/urdan/assets/css/plugins/jquery-ui.css)
17:10:49	678/678	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Nov%202023%2010:11:40%20GMT	https://htmldemo.net/urdan/urdan/assets/css/plugins/images/ui-icons_ffffff_256x240.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/css/plugins/images/ui-icons_ffffff_256x240.png	(from https://htmldemo.net/urdan/urdan/assets/css/plugins/jquery-ui.css)
17:10:49	678/678	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Nov%202023%2010:11:41%20GMT	https://htmldemo.net/urdan/urdan/assets/css/plugins/images/ui-icons_777620_256x240.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/css/plugins/images/ui-icons_777620_256x240.png	(from https://htmldemo.net/urdan/urdan/assets/css/plugins/jquery-ui.css)
17:10:49	678/678	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Nov%202023%2010:11:41%20GMT	https://htmldemo.net/urdan/urdan/assets/css/plugins/images/ui-icons_cc0000_256x240.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/css/plugins/images/ui-icons_cc0000_256x240.png	(from https://htmldemo.net/urdan/urdan/assets/css/plugins/jquery-ui.css)
17:10:50	678/678	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Nov%202023%2010:11:42%20GMT	https://htmldemo.net/urdan/urdan/assets/css/plugins/images/ui-icons_777777_256x240.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/css/plugins/images/ui-icons_777777_256x240.png	(from https://htmldemo.net/urdan/urdan/assets/css/plugins/jquery-ui.css)
17:10:51	54718/54718	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2263889abf-d5be%22	https://htmldemo.net/urdan/urdan/assets/fonts/urwabbeyw01-bold/URWAbbeyW01-Bold.eot	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/fonts/urwabbeyw01-bold/URWAbbeyW01-Bold.eot	(from https://htmldemo.net/urdan/urdan/assets/css/style.css)
17:10:51	54718/54718	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2263889abf-d5be%22	https://htmldemo.net/urdan/urdan/assets/fonts/urwabbeyw01-bold/URWAbbeyW01-Bold.eot?	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/fonts/urwabbeyw01-bold/URWAbbeyW01-Boldd41d.eot	(from https://htmldemo.net/urdan/urdan/assets/css/style.css)
